,0,1,2,3,4,5,6,7,8,9,10,11
13,kdgK,yrfA,wild_type,gspM,yjbN,yjcZ,sugE,yjeM,yjgX,yjhA,yjiY,yjjX
14,JW5925,JW5576,JW5627,JW5954,JW5010,JW5022,JW5741,JW5753,JW5779,JW5793,JW0478,wild_type
15,yghJ,trkH,dgoR,yjiV,yadD,yafX,rnr,ytfT,fimI,yjjN,ybbK,wild_type
0,JW5487,JW5931,JW5628,JW5213,JW5012,JW5023,JW5743,JW5754,JW5794,JW2879,JW5500,JW5629
1,glcE,tatD,dgoA,rzoR,clcA,ykfF,yjfO,yjfF,mdoB,ygfA,yqhG,dgoD
2,JW5013,JW5744,JW5756,JW5768,JW5782,JW5795,wild_type,JW4263,JW5501,JW5585,JW5699,JW5382
3,cdaR,ulaA,yjgK,yjhB,yjiD,yjjA,wild_type,sgcE,ygiQ,rhtB,frlC,yfdI
4,JW5014,JW5030,JW5745,JW5757,JW5769,JW5783,JW5796,JW5429,JW5509,JW5586,JW5708,JW5016
5,yaeI,yagV,ytfB,yjgL,yjhC,yjiH,yjjP,srlA,yqiI,rhtC,smf,yaeF
6,JW5031,JW5746,JW5758,JW5770,JW5784,JW5797,JW5430,JW5518,JW5591,JW5946,JW5017,JW5033
7,ykgK,fklB,yjgM,yjhD,kptA,yjjZ,srlE,yhaM,yigE,gntR,yafD,ykgL
8,JW5747,JW5759,JW5952,JW5785,JW5467,JW5520,JW5596,wild_type,JW5748,JW5005,JW5019,JW5037
9,ytfH,yjgN,yjhU,yjiL,ygfQ,tdcG,rffT,wild_type,ytfI,yabI,yafV,ykgA
10,JW5749,JW5763,JW5775,JW5786,JW5477,JW5558,JW5610,JW5752,JW5008,JW5020,JW5039,JW5042
11,ytfK,yjgX,yjhH,yjiM,yggP,cpxP,yieM,ytfR,yacG,fadE,ykgI,ykgG
12,JW5059,wild_type,JW5082,JW5098,JW5126,JW5139,JW5158,JW5173,JW5187,JW5208,JW5893,JW5062
13,yajR,wild_type,cusS,ybgO,ycbX,ycdL,ycfP,icdC,dhaK,lar,yahH,ylaB
14,JW5083,JW5099,JW5113,JW5127,JW5147,JW5159,JW5174,JW5196,JW5210,JW5224,JW5044,JW5063
15,ybdF,ybgQ,ybjI,ymbA,ycdZ,ycfQ,ycgG,yciO,ydaG,cybB,yahM,ylaC
0,JW5086,JW5102,JW5114,JW5128,JW5150,JW5901,JW5197,JW5211,JW5226,JW5066,JW5090,JW5103
1,fepA,ybhT,ybjK,yccS,ymdC,ycgH,yciQ,ydaW,ydcI,ybbM,ybeB,ybhJ
2,JW5116,JW5130,JW5151,JW5164,JW5178,JW5200,JW5228,JW5051,JW5070,JW5091,JW5105,JW5131
3,ybjT,yccU,yceK,ymfA,ymgG,yciW,ydcM,yaiU,ybcJ,ybeQ,ybiX,yccX
4,JW5152,JW5166,JW5180,JW5202,JW5216,JW5229,JW5053,JW5073,JW5094,JW5107,JW5120,JW5133
5,yceP,ymfE,ycgN,ycjR,ydbL,ydcO,yaiZ,fimZ,ybfG,ybiN,ycaI,ymcD
6,JW5153,wild_type,JW5168,JW5181,JW5205,JW5217,JW5232,JW5056,JW5079,JW5095,JW5108,JW5123
7,flgH,wild_type,ymfI,hlyE,abgA,paaD,ydcX,yajI,rzpD,ybfH,ybiO,ycbV
8,JW5136,JW5155,JW5169,JW5185,JW5206,JW5221,JW5233,JW5058,JW5081,JW5096,JW5109,JW5124
9,ymdF,yceF,ymfT,dhaH,ydaM,ydbD,yncA,yajQ,ybcV,kdpE,fsaA,ycbF
10,JW5137,JW5157,JW5172,JW5186,JW5207,JW5177,JW5237,JW5248,wild_type,JW5265,JW5276,JW5291
11,ycdG,ycfM,stfE,dhaL,ydaQ,ymgD,yncM,marR,wild_type,ydgJ,ydiQ,yeaJ
12,JW5303,JW5317,JW5339,JW5352,JW5371,JW5388,wild_type,JW5405,JW5238,JW5249,JW5267,JW5280
13,yebW,yodD,yegP,yehT,yfaZ,ypdA,wild_type,yphG,sfcA,marA,slyA,pfkB
14,JW5292,JW5306,JW5319,JW5340,JW5353,JW5372,JW5389,JW5406,JW5239,JW5250,JW5283,JW5295
15,yeaP,yebB,yedS,gatR,yehU,yfbE,ypdH,yphH,bdm,eamA,ydjY,yoaB
0,JW5307,JW5323,JW5344,JW5355,JW5373,JW5391,JW5407,JW5240,JW5252,JW5284,JW5296,JW5308
1,yecD,yodB,fbaB,pbpG,yfbJ,yfeA,yfhK,ddpA,ydfO,ynjB,yoaC,yecN
2,JW5345,JW5356,JW5376,JW5408,JW5241,JW5253,JW5270,JW5285,JW5309,JW5329,JW5346,JW5358
3,yegX,yohC,yfbT,yfhB,yddV,gnsB,ydhO,ynjC,yecM,dacD,yohN,yohH
4,JW5377,JW5395,JW5409,JW5243,JW5255,JW5272,JW5287,JW5300,JW5310,JW5335,JW5349,JW5361
5,yfcE,yfeW,yfiP,ydeN,essQ,ydhV,ynjE,proQ,yecT,nudD,yehL,yeiW
6,JW5380,JW5400,JW5412,JW5245,JW5273,JW5288,wild_type,JW5301,JW5312,JW5336,JW5350,wild_type
7,trmC,yfgH,yfiL,yneE,sufB,ynjI,wild_type,yebU,otsA,yegH,yehP,wild_type
8,JW5362,JW5381,JW5402,JW5415,JW5247,JW5263,JW5275,JW5289,JW5302,JW5338,JW5351,JW5384
9,yeiP,yfcM,yfgJ,yfjD,yneI,clcB,ydiO,ydjH,yebV,mdtA,yehR,yfdL
10,JW5404,JW5418,JW5419,JW5438,JW5455,JW5481,JW5776,JW5507,JW0696,JW1282,JW2729,JW0026
11,sseB,yfjO,yfjP,ygbF,yqeJ,mltC,sgcX,yqiG,ybfD,ycjD,ygcK,fkpB
12,JW1464,JW5198,JW5422,JW5456,JW5503,JW5800,JW5542,JW1822,JW0272,JW2875,JW5948,JW5424
13,narU,yciX,ypjA,ygeI,tolC,nadR,yhdP,yebS,yagL,ubiH,yhfZ,ypjC
14,JW5440,JW5457,JW5441,JW3566,JW2528,JW0746,JW2758,JW4064,JW2549,wild_type,JW5426,JW5444
15,ygcQ,pbl,ygcR,rhsA,yphB,modA,gudD,phnE,recO,wild_type,yqaC,ygcE
0,JW5458,JW5531,JW5805,JW0692,JW0194,JW0055,JW3381,JW4056,JW4367,JW2564,JW5427,JW5445
1,ygeK,deaD,hyfI,ybfO,metI,yabP,malT,phnM,thrL,ung,ygaT,ygcG
2,JW5460,JW5803,JW0689,wild_type,JW0323,JW0285,JW3386,JW3518,JW5416,JW5428,JW5450,JW5461
3,ygeN,ybhR,rhsC,wild_type,prpB,yagX,glpR,tag,recN,ygaY,ygdB,ygeQ
4,JW5577,JW5142,JW1730,JW0345,JW1651,JW3530,JW5076,JW2703,JW5431,wild_type,JW5451,JW5475
5,yigZ,ycdR,ydjQ,yaiL,ydhB,glyS,ylcG,mutS,gutQ,wild_type,ppdB,rpiA
6,JW1780,JW0820,JW3384,JW1572,JW2799,JW5437,JW5454,JW5476,JW5707,JW5442,JW1451,JW0952
7,yeaN,yliH,rtcB,rspB,mutH,rpoS,yqeH,ygfI,gspD,ygcU,rhsE,yccK
8,JW1948,JW3650,JW2505,JW2862,JW2928,JW3718,JW5146,JW0617,JW1769,JW1449,JW2054,JW0533
9,yedS,yidF,sseA,xerD,mutY,gidB,ycdW,crcA,yeaD,yncG,yegD,ybcL
10,JW0487,JW1985,JW2057,JW2987,JW3719,JW1321,JW1055,JW1804,JW1495,JW2060,JW1229,JW1773
11,ybbC,yeeT,yegK,parC,gidA,ycjZ,mviM,yoaD,ydeP,mdtB,ychE,yeaH
12,JW0620,JW1986,JW2098,JW3038,JW3720,JW1494,JW1347,JW0124,JW1528,JW1089,JW0320,JW2134
13,ybeH,yeeU,yehD,dnaG,mioC,ydeO,kil,yadH,ydeH,hinT,yahN,yeiA
14,JW0774,JW1987,JW2157,JW3284,wild_type,JW3784,JW1504,JW1370,JW0196,JW1621,JW0700,JW0265
15,ybhQ,yeeV,setB,pioO,wild_type,xerC,ydeV,uspF,gmhB,rsxC,ybgI,yagI
0,JW0134,JW0899,JW2016,JW2291,JW3350,JW0119,JW2097,JW1536,wild_type,JW0802,JW1668,JW1678
1,yadM,ycaQ,wbbL,yfbU,dam,cueO,yehC,ydfJ,wild_type,ybiR,ynhG,ydiK
2,JW0280,JW0258,JW1135,JW2017,JW2331,JW3610,JW2333,JW1553,JW1096,JW1671,JW0261,JW1676
3,yagT,ykgN,ymfN,wbbK,yfcQ,mutM,yfcS,rem,ycfJ,sufD,yagE,ydiI
4,JW0362,JW1665,JW2019,JW2344,JW3626,JW0969,JW2335,JW1554,JW1407,JW1784,JW0262,JW1511
5,yaiT,ydhZ,wbbI,yfdC,trmH,ymcC,yfcU,hokD,ynbC,yeaQ,yagF,lsrG
6,JW0383,JW1955,JW2055,wild_type,JW2356,JW3677,JW0049,JW1555,JW1445,JW1965,JW2162,JW1954
7,ykiA,yedZ,yegI,wild_type,yfdP,recF,apaG,relE,yncC,yeeO,yeiU,yedY
8,JW0450,JW1961,JW2056,JW2359,JW2374,JW1591,JW2284,JW0859,JW2907,JW3373,JW3774,JW0001
9,ybaJ,yeeL,yegJ,yfdS,yfdY,mdtI,lrhA,aqpZ,yqgC,yhgG,hemY,thrA
10,JW1070,JW3233,JW2637,JW0339,JW2399,JW1813,JW2573,JW2918,JW3390,wild_type,JW3872,JW0812
11,flgL,acrE,gabT,mhpB,yfeN,yobF,clpB,yggS,yzgL,wild_type,yiiL,iaaA
12,JW1312,JW3596,JW2944,JW0878,JW2490,JW0063,JW2343,JW2971,JW3480,JW3971,JW1737,JW1368
13,ompG,rfaC,glcG,dmsB,yfgI,araC,vacJ,yqhA,gadE,yjaA,astC,pinR
14,JW3599,JW3180,JW1215,JW2607,JW0718,JW0719,JW2817,JW3117,JW3483,JW3980,JW0588,JW1497
15,rfaZ,gltD,narG,yfjJ,sucD,mngR,yqeK,yraN,gadW,yjbB,entA,ydeR
0,JW3603,JW3555,JW1216,JW5921,JW1095,wild_type,JW2779,JW2831,JW3178,JW3492,JW4272,JW0904
1,rfaB,sgbE,narH,yfjS,ndh,wild_type,gcvA,ygeP,yhcC,yhjG,yjhS,smtA
2,JW1867,wild_type,JW3635,JW4054,JW1294,JW2626,JW0799,JW3876,JW2400,JW3221,JW3548,JW4295
3,flhE,wild_type,nlpA,phnO,puuB,yfjZ,ompX,rhaS,yfeR,yhdA,yiaL,yjiJ
4,JW1082,JW1881,JW4282,JW4057,JW1471,JW1151,JW1125,JW3698,JW2845,JW3337,JW3565,JW4310
5,pabC,flhD,fimG,phnL,fdnH,ycgZ,lit,bglH,ygfJ,frlD,yibF,yjiW
6,JW2257,JW2503,JW4318,JW4059,JW2018,JW1568,JW1531,JW0784,JW2848,JW3340,JW3572,JW4319
7,menB,pbpC,tsr,phnJ,wbbJ,ydfE,dcp,dinG,ygfM,yhfT,yibI,yjiZ
8,JW0136,JW2794,JW0264,JW4061,JW2082,JW2701,JW2960,JW0326,JW2790,JW0581,JW2304,JW4048
9,ecpD,ppdA,yagH,phnH,gatZ,fhlA,hybE,prpE,recC,fepG,hisM,alsA
10,JW0525,JW0040,JW5009,JW5234,JW2195,JW2770,JW2964,JW1409,JW3808,JW0685,JW2305,JW2756
11,intD,fixA,hpt,ansP,napD,fucO,hybA,azoR,udp,kdpB,hisQ,rumA
12,JW0618,JW0333,JW5052,JW5278,JW2338,JW2771,JW3299,JW0030,JW3970,JW0816,JW2307,JW3136
13,cspE,lacA,ampH,arpB,yfcX,fucA,bfd,carA,purH,yliD,argT,rbfA
14,JW0920,wild_type,JW0341,JW5057,JW5354,JW2692,JW2773,JW5689,JW0097,JW3656,JW1214,JW2885
15,ssuE,wild_type,mhpD,yajL,yohO,hycD,fucI,malP,mutT,yidL,narK,argK
0,JW3213,JW5963,JW2051,JW5071,JW5423,JW2693,JW2775,JW3575,JW0458,JW0059,JW1807,JW2942
1,tldD,blr,udk,sfmH,pinH,hycC,fucU,mtlR,apt,polB,manY,yghK
2,JW2300,JW2368,JW5466,JW2694,JW2810,JW3864,JW2461,JW2502,JW1902,JW3239,JW0453,JW2604
3,folX,yfdE,guaD,hycB,kduD,fdoH,purC,ndk,yecC,yhdZ,acrR,alpA
4,JW3419,JW5134,JW5468,JW2695,JW2894,JW0037,JW2491,JW0334,JW2077,JW3442,JW2668,JW3029
5,livF,cspH,ygfS,hycA,epd,caiB,guaA,lacY,gatB,nikB,recX,bacA
6,wild_type,JW4116,JW5517,JW2700,JW2958,JW0038,JW2787,JW0452,JW2234,wild_type,JW3578,JW3446
7,wild_type,poxA,yhaL,hypE,hybG,caiA,recD,acrA,glpT,wild_type,lldP,nikR
8,JW4015,JW2571,JW5184,wild_type,JW5522,JW5541,JW5777,JW5038,JW5189,JW5383,JW5807,JW5816
9,aphA,kgtP,cvrA,wild_type,tdcE,aaeX,yjhT,ykgB,ychM,tfaS,leuB,ybfE
10,JW5908,JW5833,JW5842,JW5850,JW5944,JW5787,JW5041,JW5215,JW5385,JW5808,JW5825,JW5834
11,yddM,yeeJ,yphC,yqjF,yhiM,yjiT,ykgE,ydbJ,yfdN,pcnB,yneF,yeeY
12,JW5843,JW5556,JW5693,JW5789,JW5060,JW5235,JW5818,JW5826,JW5836,JW5844,JW5852,JW5559
13,norR,gldA,yrfD,mcrC,bolA,yncH,potG,asr,cld,ygcI,yihO,yiiM
14,JW5710,JW5790,JW5084,JW5304,JW5420,JW5811,JW5819,JW5827,JW5837,JW5845,JW5853,JW5563
15,yrdA,yjiA,hokE,yebA,ypjM,fhiA,ybjS,ydhL,yegR,ygcS,ysgA,yiiF
0,JW5733,JW5792,JW5143,JW5325,JW5448,JW5812,JW5820,JW5910,JW5838,JW5846,JW5854,JW5575
1,yjdC,yjjM,ycdT,yeeL,ygdI,mbhA,ycfS,ydiD,yohG,ygeO,yigL,mobB
2,JW5742,JW5486,JW5145,JW5326,JW5525,JW5813,JW5821,JW5830,JW5839,JW5847,JW5855,JW5608
3,yjfN,glcF,ymdE,yoeA,tdcR,ykfC,emtA,yebN,yejO,prfB,recQ,yieP
4,JW5755,JW5619,JW5170,JW5916,JW5607,JW5814,JW5822,wild_type,JW5831,JW5840,JW5848,JW5856
5,yjgF,tnaB,ymfP,molR,hdfR,yaiF,abgT,wild_type,znuA,elaD,yghO,trxA
6,JW5938,JW5761,JW5171,JW5375,JW0488,JW5815,JW5823,JW5832,JW5841,JW5849,JW5857,JW5858
7,yicM,yjgB,ymfS,nuoC,ylbH,tfaD,ydcH,yedQ,prmB,yqhC,rbsD,yidX
8,JW0485,JW0616,JW5179,JW1501,JW1559,JW3516,JW3947,JW5434,wild_type,JW5859,JW5868,JW0688
9,ybbP,dcuC,ymgH,hipB,ydfW,yhjX,rplA,ascG,wild_type,dgoT,ulaG,ybfA
10,JW5067,JW5686,JW0197,JW3581,JW5688,JW3134,JW5165,JW5860,JW1015,JW5097,JW3933,JW3647
11,ybbN,gntU,dkgB,yibK,rtcA,rpsO,hflD,yidR,ycdU,abrB,oxyR,ivbL
12,JW2460,JW3631,JW5322,JW5125,JW0695,JW5939,JW5953,JW2730,JW5112,JW3375,JW5080,JW0644
13,ypfJ,yicI,yedW,ycbW,ybfL,yicJ,yjiP,ygcL,ybjG,bioH,rzoD,djlC
14,JW5002,JW5396,JW0502,JW5874,JW5871,JW1267,JW5132,wild_type,JW2226,JW5089,JW0668,JW5003
15,hokC,ypfH,glxK,ydhM,mcrB,cysB,etp,wild_type,ubiG,lipB,ybfN,yaaY
0,JW5443,JW5603,JW5055,JW5876,JW0162,wild_type,JW5135,JW2904,JW5111,JW1166,JW0939,JW1246
1,ygcW,gpp,proY,yfeH,glnD,wild_type,torS,speB,yliB,ycgJ,ycbG,yciB
2,JW5258,JW5877,JW5864,JW5873,JW2042,JW5138,JW0022,wild_type,wild_type,JW5106,JW1083,JW3037
3,ynfC,ypeB,yrhA,prfC,wcaC,ycdH,rpsT,wild_type,wild_type,ybiM,yceG,rpsU
4,JW2413,JW5259,JW5878,JW5947,JW1830,JW0613,JW5176,JW1522,JW5262,JW3489,JW5188,JW2064
5,yfeS,ynfD,csiE,aroK,yobA,dcuC,ycgH,marC,dmsD,yhjC,dhaR,baeR
6,JW5327,JW1058,JW4253,JW4125,JW0090,JW2556,JW3959,JW1026,JW4252,JW1982,JW1031,JW5865
7,yeeP,flgM,fecI,yjeF,ddlB,rseA,rsd,csgC,fecR,flu,ymdA,yrfG
8,JW0583,JW5065,JW1537,JW0738,JW1907,JW3682,JW1731,JW3906,JW3713,JW5592,JW4326,JW3714
9,ybdA,ybbJ,ydfK,gpmA,fliA,yidD,ydjR,priA,atpH,dapF,dnaT,atpF
10,JW0870,JW1630,JW3715,JW1041,JW2308,JW3716,JW3711,JW3709,JW3039,JW2795,JW3710,JW4055
11,cydD,pdxH,atpE,lpxL,ubiX,atpB,atpG,atpC,rpoD,thyA,atpD,phnN
12,JW3400,JW3712,JW1693,JW1225,JW0807,JW0823,JW1181,JW3504,JW3359,JW2302,JW1596,JW1785
13,gntK,atpA,ydiA,hns,ybiW,dacC,ldcA,bcsE,mrcA,yfcI,ydgH,yoaG
14,JW1427,JW1442,JW0009,JW0577,JW0947,JW1406,JW0993,JW0310,JW0621,JW2040,JW2087,JW2116
15,ydcL,ydcZ,yaaH,ybdZ,yccT,ynbB,ycdI,yahD,ybeM,wcaE,yegV,yehW
0,JW2167,JW2204,JW2287,JW2430,JW0325,JW1395,wild_type,JW2431,JW0125,JW0409,JW2919,JW3210
1,yejE,rcsD,yfbQ,yfeG,prpD,paaY,wild_type,yffI,yadI,yajO,yggT,aaeA
2,JW3435,JW3455,JW3481,JW3586,JW4106,JW4177,JW1991,JW4311,JW4334,JW0069,JW0074,wild_type
3,yhhP,yhiJ,mdtE,yibN,yjeK,ytfL,sbmC,hsdS,holD,setA,leuL,wild_type
4,JW1750,JW0413,JW0633,JW3829,JW1273,JW1838,JW1943,JW2309,JW1847,JW4067,JW2917,JW3135
5,gdhA,thiI,cobC,mobA,pyrF,purT,vsr,purF,znuC,phnC,yggR,truB
6,JW0729,JW1921,JW3755,JW5119,JW5646,JW0486,JW0240,JW0998,JW5867,JW5869,JW5955,JW1656
7,tolA,fliE,rhoL,ycaM,envC,rhsD,yafY,ycdC,aidB,yjiK,bglJ,ydhQ
8,JW1107,JW5851,JW3030,JW5702,JW3366,JW0242,JW3818,JW5678,JW2021,JW2138,JW3890,JW0694
9,ycfZ,pnp,folB,crp,pck,yafZ,rfaH,yrhC,glf,galS,tpiA,ybfQ
10,JW1566,JW5386,JW3301,JW0715,JW3924,JW2625,JW1488,JW5897,wild_type,JW3937,JW0885,JW1115
11,dicB,ypdJ,tufA,sucA,pflC,yfjY,gadB,yliA,wild_type,trmA,pflA,phoQ
12,JW0631,JW3485,JW5212,JW1367,JW1122,JW1223,JW4142,JW0549,JW5529,JW1692,JW2063,JW0306
13,ybeA,gadA,rzpR,tfaR,icd,rssB,yjfL,nohB,yhbO,pps,baeS,betT
14,JW3460,JW5679,JW2198,JW2214,JW1683,JW3943,JW1455,JW2276,JW1819,JW2316,JW1541,JW3451
15,pitA,rhsB,mqo,atoC,aroD,tufB,ydcC,nuoI,prc,usg,nohA,yhhI
0,,,,wild_type,,,,,,,,
1,,,,wild_type,,,,,,,,
2,,,wild_type,,,,,,,,,
3,,,wild_type,,,,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
6,,,,,,,,,,,,
7,,,,,,,,,,,,
8,,,,,,wild_type,,,,,,
9,,,,,,wild_type,,,,,,
10,,,,,,,,,,,,
11,,,,,,,,,,,,
12,,,,,,,,,,,,
13,,,,,,,,,,,,
14,,,,,,,,,,,,
15,,,,,,,,,,,,
0,wild_type,,,,,,,,,,,
1,wild_type,,,,,,,,,,,
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
6,,,,,,,,wild_type,,,,
7,,,,,,,,wild_type,,,,
8,,,,,,,,,,,,
9,,,,,,,,,,,,
10,,,,,,,wild_type,,,,,
11,,,,,,,wild_type,,,,,
12,,,,,,,,,,,,
13,,,,,,,,,,,,
14,,,,,,,,,,,,
15,,,,,,,,,,,,
